Temperature (°C),H2 (mol %),CO (mol %),CO2 (mol %),CH4 (mol %),O2 (mol %)
400,0.029658327012868878,60.60281029775967,1.7609517895998152,36.84596708983027,1.3506819845806748e-36
500,0.524652162725548,60.86615709037697,1.4325239429971115,36.5284863494747,4.335950181989135e-31
600,2.582833974911082,61.66781604104581,0.36976740379598877,34.740584964423114,6.790504168652022e-28
